stream,phase_id,phase_label,day_archetype,current_window,n_observations,top_next_window,pct_up_next,pct_down_next,pct_flat_next,low_confidence_flag,expectancy_raw,expectancy_shrunk,expectancy_shrunk_var,win_rate_raw,win_rate_shrunk,win_rate_shrunk_var
BRENT_session,7.0,sustained_major_reescalation_hormuz_war,whipsaw_two_sided,india_midday,4,europe_midday,25.0,25.0,50.0,True,0.0,0.02823691460055096,0.12351865810261756,0.25,0.3543388429752066,0.042844144370252565
BRENT_session,7.0,sustained_major_reescalation_hormuz_war,whipsaw_two_sided,india_morning,4,india_midday,0.0,50.0,50.0,True,-0.5,-0.055096418732782364,0.12351865810261756,0.0,0.31267217630853994,0.042844144370252565
BRENT_session,7.0,sustained_major_reescalation_hormuz_war,whipsaw_two_sided,mcx_open_drive,4,india_morning,50.0,0.0,50.0,True,0.5,0.11157024793388429,0.12351865810261756,0.5,0.39600550964187325,0.042844144370252565
BRENT_session,7.0,sustained_major_reescalation_hormuz_war,whipsaw_two_sided,mcx_tail,4,other_valid_hours,50.0,0.0,50.0,True,0.5,0.11157024793388429,0.12351865810261756,0.5,0.39600550964187325,0.042844144370252565
BRENT_session,7.0,sustained_major_reescalation_hormuz_war,whipsaw_two_sided,us_open,8,mcx_tail,37.5,25.0,37.5,False,0.125,0.05991735537190082,0.10587313551652933,0.375,0.37514757969303425,0.03672355231735935
BRENT_session,7.0,sustained_major_reescalation_hormuz_war,whipsaw_two_sided,us_pre_open,4,us_open,0.0,50.0,50.0,True,-0.5,-0.055096418732782364,0.12351865810261756,0.0,0.31267217630853994,0.042844144370252565
BRENT_session,9.0,ceasefire_pause_breakdown_renewed_escalation,whipsaw_two_sided,us_open,4,mcx_tail,0.0,50.0,50.0,True,-0.5,-0.055096418732782364,0.12351865810261756,0.0,0.31267217630853994,0.042844144370252565
BRENT_session,10.0,second_deescalation_active_negotiation_hormuz_deal,mixed_regime,us_open,4,mcx_tail,50.0,25.0,25.0,True,0.25,0.06990358126721763,0.12351865810261756,0.5,0.39600550964187325,0.042844144370252565
BRENT_session,10.0,second_deescalation_active_negotiation_hormuz_deal,whipsaw_two_sided,europe_midday,3,us_pre_open,66.66666666666666,33.33333333333333,0.0,True,0.33333333333333326,0.07294286740927056,0.1288890345418618,0.6666666666666665,0.4132231404958677,0.04470693325591572
BRENT_session,10.0,second_deescalation_active_negotiation_hormuz_deal,whipsaw_two_sided,india_midday,3,europe_midday,33.33333333333333,66.66666666666666,0.0,True,-0.33333333333333326,-0.014013654329859855,0.1288890345418618,0.33333333333333326,0.36974487962630254,0.04470693325591572
